Media,Esc_6,Esc_12,Esc_24,Tir_40,Tir_80,Tir_160,OSI_80,OSI_160,OSI_320,Rif_40,Rif_80,Rif_160,Mif_3,Mif_6,Mif_12,TGFb
3406,6020,4305.5,4974.5,4065,3796,3837.5,5247,4240.5,4389,4513,4511,4313,4405,2311,4356,4587
4155,4353,3710.5,2026,4108,3543.5,4276.5,2878,4919,4415.5,4440,4452.5,4917.5,4186,3839.5,3715,4671.5
3705.5,6822,3957,3665,4620,4488,4590,4699,3964,4681,4373,4449.5,4596,4355,3163,3277,4996.5
