Media,Esc,PE,TGFb,PE_Esc,TGFb_Esc,PE_Ega,TGFb_Ega,PE_Sar3,TGFb_Sar3,PE_Sar4,TGFb_Sar4,Sar4
2017,1870.5,5169,3057,2847,2224,4877,3371,2573.5,2851.5,2676,2636,2739
2635.5,1865,4457,3457.5,2553,1951,4046,3763.5,2756.5,2991,4459.5,2578,2370
2584,1951,4864,2951,2589,2134,4455,3555.5,3709,2192,3267.5,1934,2227.5
