Media,Esc_6,Esc_12,Esc_24,Tir_20,Tir_40,Tir_80,OSI_40,OSI_80,OSI_160,Rif_20,Rif_40,Rif_80,Mif_6,Mif_12,Mif_24,PE
2425,3613,3289,3159,4016,3954,3772,3926,4643.5,2795,5327.5,4369,5119,3631,3232,821,5119
3447,5119,3728.5,3325.5,3715,3953,3844,4366,5223,3911,4641,4521,4820,3576.5,3718,758,4366
2451.5,4946,4501,3089,4496,4000.5,3988.5,4232,4544,5234.5,6345,4887,4523,3506,2552.5,979.5,4347
