Media,Mif,PE,TGFb,PE_Mif,TGFb_Mif,PE_Esc,TGFb_Esc,PE_D06,TGFb_D06,PE_Ega,TGFb_Ega,PE_Par,TGFb_Par,Esc
4052,748,4123,5558,4026,1758,3422,2274.5,4286,2275,4040,674,3294,2099,2614
2777,2762,6003,4643,3754,3720,1653.5,3007.5,4788.5,2718,4459,3644.5,2674,625,3468.5
3401.5,2805,5794.5,5210,3220,3812.5,3634,3028,1131,2450,675.5,3159,3001.5,2979.5,2758
