				Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	
				pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	children males	young adult males	adult males	elderly males	age unspecified males	children females	young adult females	adult females	elderly females	age unspecified females	children gender unspecified	young adults gender unspecified	adults gender unspecified	elderly gender unspecified	age unspecified gender unspecified	children all	young adults all	adults all	elderly all	age unspecified all	males all	females all	gender unspecified all	all	
				children males	young adult males	adult males	elderly males	age unspecified males	children females	young adult females	adult females	elderly females	age unspecified females	children gender unspecified	young adults gender unspecified	adults gender unspecified	elderly gender unspecified	age unspecified gender unspecified	children all	young adults all	adults all	elderly all	age unspecified all	males all	females all	gender unspecified all	all	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02																									
																												children males	young adult males	adult males	elderly males	age unspecified males	children females	young adult females	adult females	elderly females	age unspecified females	children gender unspecified	young adults gender unspecified	adults gender unspecified	elderly gender unspecified	age unspecified gender unspecified	children all	young adults all	adults all	elderly all	age unspecified all	males all	females all	gender unspecified all	all																									
Rank	Known Drug Reactions	Adverse Events	Total_Adverse Events_Reports	Fishers Exact Test_pValue_children males	Fishers Exact Test_pValue_young adult males	Fishers Exact Test_pValue_adult males	Fishers Exact Test_pValue_elderly males	Fishers Exact Test_pValue_age unspecified males	Fishers Exact Test_pValue_children females	Fishers Exact Test_pValue_young adult females	Fishers Exact Test_pValue_adult females	Fishers Exact Test_pValue_elderly females	Fishers Exact Test_pValue_age unspecified females	Fishers Exact Test_pValue_children gender unspecified	Fishers Exact Test_pValue_young adults gender unspecified	Fishers Exact Test_pValue_adults gender unspecified	Fishers Exact Test_pValue_elderly gender unspecified	Fishers Exact Test_pValue_age unspecified gender unspecified	Fishers Exact Test_pValue_children all	Fishers Exact Test_pValue_young adults all	Fishers Exact Test_pValue_adults all	Fishers Exact Test_pValue_elderly all	Fishers Exact Test_pValue_age unspecified all	Fishers Exact Test_pValue_males all	Fishers Exact Test_pValue_females all	Fishers Exact Test_pValue_gender unspecified all	Fishers Exact Test_pValue_all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_children males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_young adult males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_adult males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_elderly males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_age unspecified males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_children females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_young adult females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_adult females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_elderly females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_age unspecified females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_children gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_young adults gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_adults gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_elderly gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_age unspecified gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_children all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_young adults all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_adults all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_elderly all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_age unspecified all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_males all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_females all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_gender unspecified all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_all	Absolute Counts_children males	Absolute Counts_young adult males	Absolute Counts_adult males	Absolute Counts_elderly males	Absolute Counts_age unspecified males	Absolute Counts_children females	Absolute Counts_young adult females	Absolute Counts_adult females	Absolute Counts_elderly females	Absolute Counts_age unspecified females	Absolute Counts_children gender unspecified	Absolute Counts_young adults gender unspecified	Absolute Counts_adults gender unspecified	Absolute Counts_elderly gender unspecified	Absolute Counts_age unspecified gender unspecified	Absolute Counts_children all	Absolute Counts_young adults all	Absolute Counts_adults all	Absolute Counts_elderly all	Absolute Counts_age unspecified all	Absolute Counts_males all	Absolute Counts_females all	Absolute Counts_gender unspecified all	Absolute Counts_all	
		Unique Patients		249,093	212,665	2,264,464	1,735,393	2,241,914	208,564	381,313	3,853,203	2,250,564	3,563,098	26,152	10,523	93,694	66,631	1,931,945	483,826	604,523	6,211,516	4,052,668	7,737,023	6,703,529	10,256,742	2,128,945	19,089,556	249,093	212,665	2,264,464	1,735,393	2,241,914	208,564	381,313	3,853,203	2,250,564	3,563,098	26,152	10,523	93,694	66,631	1,931,945	483,826	604,523	6,211,516	4,052,668	7,737,023	6,703,529	10,256,742	2,128,945	19,089,556	249,093	212,665	2,264,464	1,735,393	2,241,914	208,564	381,313	3,853,203	2,250,564	3,563,098	26,152	10,523	93,694	66,631	1,931,945	483,826	604,523	6,211,516	4,052,668	7,737,023	6,703,529	10,256,742	2,128,945	19,089,556	
No results. 	
Filters were specified but they must be all leaf-nodes in order to generate results.	
